,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
55,lagoa,39.05,-27.9833,60.1,96,92,14.74,PT,1615145456
56,cockburn town,21.4612,-71.1419,82.4,69,1,4.61,TC,1615145438
57,ishigaki,24.3448,124.1572,70.77,85,77,23.29,JP,1615145686
58,tuktoyaktuk,69.4541,-133.0374,-18.4,76,40,18.41,CA,1615145686
59,aquiraz,-3.9014,-38.3911,82.99,83,40,5.75,BR,1615145687
60,port elizabeth,-33.918,25.5701,66.2,94,20,10.36,ZA,1615145482
61,santa quiteria,-4.3319,-40.1567,85.87,59,100,4.65,BR,1615145687
62,lardos,36.0942,28.0157,59.0,63,0,12.66,GR,1615145687
63,dunedin,-45.8742,170.5036,54.0,64,59,3.0,NZ,1615145521
64,rio grande,-32.035,-52.0986,80.6,61,40,17.27,BR,1615145687
65,kununurra,-15.7667,128.7333,80.6,94,28,3.44,AU,1615145687
66,mbandaka,0.0487,18.2603,74.52,88,97,3.51,CD,1615145687
67,loukhi,66.0764,33.0381,-2.65,93,55,5.91,RU,1615145688
68,tuatapere,-46.1333,167.6833,52.0,71,89,11.01,NZ,1615145688
69,barrow,71.2906,-156.7887,-16.6,63,90,13.8,US,1615145639
70,new norfolk,-42.7826,147.0587,53.01,78,100,1.97,AU,1615145689
71,verkh-usugli,52.7,115.1667,7.23,95,94,2.53,RU,1615145689
72,kapaa,22.0752,-159.319,73.99,73,40,14.97,US,1615145689
73,rudbar,30.15,62.6,59.65,31,0,4.07,AF,1615145689
74,atuona,-9.8,-139.0333,79.66,72,18,11.21,PF,1615145575
75,ilulissat,69.2167,-51.1,19.4,73,75,11.5,GL,1615145690
76,nouna,12.7333,-3.8667,91.06,28,28,6.87,BF,1615145690
77,hermanus,-34.4187,19.2345,61.0,88,96,7.16,ZA,1615145690
78,alma,48.5501,-71.6491,12.2,61,100,9.22,CA,1615145690
79,imeni poliny osipenko,52.4201,136.4853,-9.94,90,0,6.17,RU,1615145690
80,luderitz,-26.6481,15.1594,66.87,68,0,15.59,NA,1615145691
81,jamestown,42.097,-79.2353,30.0,89,20,9.62,US,1615145523
82,tiarei,-17.5333,-149.3333,84.2,74,75,16.11,PF,1615145691
83,asau,46.4333,26.4,39.2,38,0,16.11,RO,1615145691
84,assiniboia,49.6334,-105.9845,41.0,56,1,12.66,CA,1615145691
85,zhezkazgan,47.8043,67.7144,22.19,94,100,10.8,KZ,1615145692
86,plettenberg bay,-34.0527,23.3716,65.14,85,100,7.38,ZA,1615145422
87,ostrovnoy,68.0531,39.5131,2.07,92,100,8.01,RU,1615145692
88,codrington,-38.2667,141.9667,58.28,91,100,10.0,AU,1615145692
89,palmer,42.1584,-72.3287,37.0,27,1,8.05,US,1615145692
90,krasnopillya,50.7746,35.2597,30.54,98,98,19.19,UA,1615145692
91,saldanha,-33.0117,17.9442,62.6,67,39,5.75,ZA,1615145692
92,castro,-24.7911,-50.0119,70.57,89,22,4.29,BR,1615145692
93,saint-philippe,-21.3585,55.7679,77.0,88,12,8.05,RE,1615145692
94,klaksvik,62.2266,-6.589,41.0,100,75,2.3,FO,1615145692
95,port lincoln,-34.7333,135.8667,60.37,80,35,15.77,AU,1615145692
96,quatre cocos,-20.2078,57.7625,81.0,89,40,6.91,MU,1615145693
97,severo-kurilsk,50.6789,156.125,15.06,91,95,25.95,RU,1615145693
98,bredasdorp,-34.5322,20.0403,62.6,77,100,4.61,ZA,1615145693
99,boyabat,41.4689,34.7667,34.0,87,97,1.9,TR,1615145693
100,altay,47.8667,88.1167,24.73,78,95,4.29,CN,1615145694
101,luanda,-8.8368,13.2343,80.6,83,40,6.91,AO,1615145694
102,saint-louis,16.3333,-15.0,93.2,21,0,2.3,SN,1615145694
103,teacapan,22.55,-105.75,79.83,43,0,9.28,MX,1615145694
104,yulara,-25.2406,130.9889,71.6,49,40,6.91,AU,1615145694
105,cape town,-33.9258,18.4232,62.6,72,20,11.5,ZA,1615145694
106,kangaatsiaq,68.3065,-53.4641,12.74,96,100,13.13,GL,1615145695
107,sosnovo-ozerskoye,52.5249,111.5418,12.67,97,100,6.96,RU,1615145695
108,russell,32.3502,-85.1999,64.0,19,1,3.44,US,1615145695
109,baisoara,46.5833,23.4667,30.2,59,0,3.44,RO,1615145695
110,clyde river,70.4692,-68.5914,-18.4,69,1,5.44,CA,1615145695
111,walvis bay,-22.9575,14.5053,64.4,77,0,4.61,NA,1615145695
112,hilo,19.7297,-155.09,71.01,83,90,9.22,US,1615145695
113,savannakhet,16.566,104.751,73.51,76,7,9.04,LA,1615145696
114,delhi,28.6667,77.2167,75.2,53,20,10.36,IN,1615145581
115,katsuura,35.1333,140.3,45.0,87,75,6.91,JP,1615145696
116,nalut,30.3333,10.85,75.36,18,53,19.98,LY,1615145696
117,bismarck,46.8083,-100.7837,57.2,33,1,16.11,US,1615145641
118,cazones,20.7167,-97.3167,78.8,57,90,7.52,MX,1615145696
119,togur,58.3631,82.8265,8.58,96,100,6.6,RU,1615145696
120,lebedinyy,58.5167,125.5167,5.65,92,100,15.03,RU,1615145696
121,bethel,41.3712,-73.414,37.4,32,1,9.22,US,1615145697
122,longyearbyen,78.2186,15.6401,3.2,66,20,16.11,SJ,1615145661
123,norman wells,65.282,-126.8329,-0.4,65,75,16.11,CA,1615145697
124,port hardy,50.6996,-127.4199,42.8,81,75,9.22,CA,1615145400
125,ust-kuyga,70.0167,135.6,-20.4,84,100,8.32,RU,1615145697
126,fortuna,40.5982,-124.1573,54.0,66,20,8.05,US,1615145697
127,sambava,-14.2667,50.1667,76.51,91,100,5.39,MG,1615145697
128,port alfred,-33.5906,26.891,66.99,90,32,1.99,ZA,1615145697
129,poum,-20.2333,164.0167,76.82,75,1,8.79,NC,1615145697
130,ribeira grande,38.5167,-28.7,62.6,94,75,18.41,PT,1615145698
131,georgetown,5.4112,100.3354,80.6,94,20,3.44,MY,1615145698
132,ponta do sol,32.6667,-17.1,60.01,77,52,4.0,PT,1615145698
133,parrita,9.5201,-84.3225,84.2,41,0,20.71,CR,1615145698
134,zhanaozen,43.3,52.8,29.01,89,0,7.72,KZ,1615145699
135,perigueux,45.1833,0.7167,46.0,85,98,3.91,FR,1615145699
136,esso,55.9333,158.7,-22.34,78,25,6.08,RU,1615145699
137,oudtshoorn,-33.5907,22.2014,60.8,100,90,5.75,ZA,1615145699
138,hithadhoo,-0.6,73.0833,83.41,69,0,10.45,MV,1615145699
139,brumadinho,-20.1433,-44.1997,77.0,78,40,4.61,BR,1615145515
140,nichinan,31.6,131.3667,50.0,99,100,8.77,JP,1615145699
141,geraldton,-28.7667,114.6,75.2,64,0,13.8,AU,1615145427
142,tual,-5.6667,132.75,82.47,77,75,12.37,ID,1615145699
143,qaanaaq,77.484,-69.3632,-13.92,65,0,5.84,GL,1615145699
144,kilindoni,-7.9139,39.6668,81.21,73,100,13.58,TZ,1615145699
145,muli,2.9167,73.5667,82.54,74,0,12.1,MV,1615145700
146,ambunti,-4.2365,142.8448,73.11,98,100,1.32,PG,1615145700
147,vaitape,-16.5167,-151.75,81.82,77,100,18.03,PF,1615145700
148,porto novo,6.4965,2.6036,86.0,79,20,16.11,BJ,1615145700
149,victoria,22.2855,114.1577,66.0,92,77,13.18,HK,1615145533
150,harper,4.375,-7.7169,79.57,85,5,7.7,LR,1615145701
151,semirom,31.4167,51.5667,37.54,68,0,3.67,IR,1615145701
152,alenquer,-1.9417,-54.7383,86.0,70,20,11.5,BR,1615145701
153,kaitangata,-46.2817,169.8464,51.01,71,72,7.0,NZ,1615145701
154,borkenes,68.774,16.1739,28.0,92,100,14.0,NO,1615145701
155,upernavik,72.7868,-56.1549,-18.22,83,0,12.62,GL,1615145701
156,khandyga,62.6667,135.6,-31.94,82,0,3.33,RU,1615145701
157,grand-santi,4.25,-54.3833,79.83,89,91,4.65,GF,1615145469
158,faanui,-16.4833,-151.75,81.81,77,100,17.92,PF,1615145702
159,padang,-0.9492,100.3543,73.4,100,40,2.3,ID,1615145702
160,santa maria,-29.6842,-53.8069,80.6,47,0,9.22,BR,1615145702
161,uige,-7.6087,15.0613,67.6,91,100,1.34,AO,1615145702
162,grand gaube,-20.0064,57.6608,81.0,81,98,3.0,MU,1615145702
163,fairbanks,64.8378,-147.7164,12.99,85,90,2.37,US,1615145702
164,khatanga,71.9667,102.5,-26.73,86,90,8.43,RU,1615145703
165,kamaishi,39.2667,141.8833,32.27,85,0,5.3,JP,1615145703
166,tanout,14.9709,8.8879,80.28,14,6,10.87,NE,1615145703
167,vilhena,-12.7406,-60.1458,80.6,78,40,5.75,BR,1615145703
168,whitehorse,60.7161,-135.0538,17.01,67,75,8.05,CA,1615145703
169,yuanping,38.7153,112.7575,36.05,80,100,1.63,CN,1615145704
170,hami,42.8,93.45,41.85,57,58,5.17,CN,1615145704
171,daru,-9.0763,143.2092,76.24,87,70,6.17,PG,1615145648
172,miandrivazo,-19.5167,45.4667,76.12,87,0,1.81,MG,1615145704
173,fairview,40.8126,-73.999,41.0,33,1,4.61,US,1615145704
174,dingle,10.9995,122.6711,73.8,90,100,7.76,PH,1615145705
175,faya,18.3851,42.4509,62.6,59,0,9.22,SA,1615145705
176,bilibino,68.0546,166.4372,-26.84,78,100,2.84,RU,1615145705
177,beringovskiy,63.05,179.3167,19.42,96,54,16.96,RU,1615145705
178,perth,-31.9333,115.8333,72.0,73,0,14.97,AU,1615145624
179,makarov,48.6333,142.8,8.44,87,0,6.02,RU,1615145705
180,hasanabad,36.5465,61.0543,51.8,71,16,2.3,IR,1615145706
181,lavumisa,-27.31,31.892,77.0,83,99,6.91,SZ,1615145706
182,vostok,46.4856,135.8833,4.75,95,100,3.49,RU,1615145454
183,bengkulu,-3.8004,102.2655,75.31,81,95,3.49,ID,1615145706
184,meulaboh,4.1363,96.1285,77.36,81,87,0.87,ID,1615145408
185,sao miguel,-5.4667,-35.3667,86.0,65,40,11.5,BR,1615145706
186,kendari,-3.945,122.4989,73.89,97,100,3.51,ID,1615145706
187,xichang,27.8964,102.2634,46.51,71,0,0.45,CN,1615145707
188,alausi,-2.2,-78.8333,54.54,84,96,0.63,EC,1615145707
189,houma,29.5958,-90.7195,66.99,39,1,11.5,US,1615145707
190,cabo san lucas,22.8909,-109.9124,77.0,38,1,10.36,MX,1615145707
191,corrente,-3.7367,-43.3394,80.78,87,16,4.5,BR,1615145707
192,taksimo,56.3444,114.8794,3.63,89,100,1.45,RU,1615145707
193,elizabeth city,36.2946,-76.2511,51.8,30,1,6.91,US,1615145559
194,madison heights,42.4859,-83.1052,37.99,32,1,6.91,US,1615145708
195,bressanone,46.715,11.656,48.2,46,0,5.75,IT,1615145708
196,tura,25.5198,90.2201,65.32,46,0,4.54,IN,1615145708
197,udachnyy,66.4167,112.4,2.7,93,100,0.49,RU,1615145559
198,sitka,57.0531,-135.33,41.0,75,40,4.61,US,1615145708
199,eureka,40.8021,-124.1637,54.0,62,100,3.0,US,1615145523
200,carutapera,-1.195,-46.02,79.0,85,100,6.64,BR,1615145709
201,tateyama,34.9833,139.8667,45.0,87,75,6.91,JP,1615145709
202,hasaki,35.7333,140.8333,43.0,87,75,6.91,JP,1615145709
203,pevek,69.7008,170.3133,-21.96,86,100,11.5,RU,1615145709
204,arlit,18.7369,7.3853,83.61,13,97,7.0,NE,1615145709
205,jeremie,18.65,-74.1167,79.88,71,50,6.06,HT,1615145710
206,porto velho,-8.7619,-63.9039,87.8,62,40,4.61,BR,1615145710
207,ngunguru,-35.6167,174.5,62.01,83,32,5.01,NZ,1615145710
208,millinocket,45.6573,-68.7098,26.6,43,1,11.5,US,1615145536
209,san isidro,-12.1167,-77.05,80.6,61,0,10.36,PE,1615145710
210,great falls,47.5002,-111.3008,48.99,31,20,20.71,US,1615145711
211,adrar,20.5022,-10.0711,69.94,23,3,10.47,MR,1615145711
212,jizan,17.3333,42.6667,82.4,69,0,4.61,SA,1615145711
213,ketchikan,55.3422,-131.6461,44.6,61,90,4.61,US,1615145453
214,tiksi,71.6872,128.8694,-16.24,87,100,7.83,RU,1615145711
215,piranshahr,36.701,45.1413,36.32,80,0,4.85,IR,1615145694
216,honningsvag,70.9821,25.9704,26.6,93,90,6.91,NO,1615145711
217,dikson,73.5069,80.5464,-16.28,88,99,9.44,RU,1615145417
218,bergen,60.392,5.328,33.01,64,0,4.61,NO,1615145712
219,kashi,39.4547,75.9797,46.4,36,100,8.95,CN,1615145712
220,cartagena,10.3997,-75.5144,87.8,66,0,18.41,CO,1615145712
221,saint-pierre,-21.3393,55.4781,77.0,88,39,8.05,RE,1615145712
222,nome,64.5011,-165.4064,28.99,93,90,17.27,US,1615145595
223,san policarpo,12.1791,125.5072,78.78,82,100,16.13,PH,1615145713
224,tasiilaq,65.6145,-37.6368,33.8,86,90,37.98,GL,1615145713
225,cidreira,-30.1811,-50.2056,75.33,62,2,7.07,BR,1615145713
226,hay river,60.8156,-115.7999,12.2,92,75,12.66,CA,1615145713
227,wexford,52.3342,-6.4575,41.0,81,0,3.44,IE,1615145713
228,butaritari,3.0707,172.7902,80.56,80,0,9.91,KI,1615145713
229,nikolskoye,59.7035,30.7861,21.99,86,90,17.9,RU,1615145714
230,batemans bay,-35.7167,150.1833,61.0,95,47,1.01,AU,1615145714
231,rincon,32.296,-81.2354,62.6,23,1,11.5,US,1615145714
232,itarema,-2.9248,-39.9167,81.93,76,79,13.49,BR,1615145714
233,roald,62.5833,6.1333,32.0,86,0,9.22,NO,1615145714
234,vardo,70.3705,31.1107,24.8,74,75,11.5,NO,1615145714
235,mandali,33.7499,45.5541,60.24,34,19,7.54,IQ,1615145715
236,cherskiy,68.75,161.3,-22.85,87,100,5.64,RU,1615145715
237,victor harbor,-35.5667,138.6167,64.0,78,31,10.58,AU,1615145715
238,chuy,-33.6971,-53.4616,75.13,70,26,9.78,UY,1615145715
239,coihaique,-45.5752,-72.0662,59.0,47,75,6.91,CL,1615145419
240,coahuayana,18.7333,-103.6833,82.4,42,1,7.34,MX,1615145448
241,saint-marc,19.1082,-72.6938,82.54,62,10,11.45,HT,1615145716
242,campbeltown,55.4258,-5.6076,44.6,93,90,4.61,GB,1615145716
243,kaihua,23.3687,104.28,56.82,85,66,8.84,CN,1615145716
244,biscarrosse,44.3945,-1.1672,48.2,81,90,2.3,FR,1615145716
245,auki,-8.7676,160.7034,78.42,83,100,3.13,SB,1615145716
246,haines junction,60.7522,-137.5108,19.4,58,100,12.66,CA,1615145716
247,duluth,46.7833,-92.1066,41.0,75,1,16.11,US,1615145695
248,chabahar,25.2919,60.643,72.66,57,0,9.13,IR,1615145716
249,omboue,-1.5746,9.2618,78.98,84,0,7.31,GA,1615145487
250,ajaccio,42.0,8.9167,50.0,81,0,6.91,FR,1615145717
251,nizhniy odes,63.6445,54.856,-10.19,91,90,2.93,RU,1615145717
252,sur,22.5667,59.5289,72.46,54,0,4.18,OM,1615145717
253,gairo,39.8497,9.5047,57.2,88,75,8.05,IT,1615145717
254,maunabo,18.0072,-65.8993,82.99,78,47,7.0,PR,1615145717
255,sukhobezvodnoye,57.0491,44.8891,21.87,98,100,6.44,RU,1615145717
256,namibe,-15.1961,12.1522,76.19,82,73,3.2,AO,1615145717
257,asind,25.7333,74.3333,75.25,24,0,12.3,IN,1615145718
258,kruisfontein,-34.0033,24.7314,69.01,80,81,3.0,ZA,1615145718
259,baruun-urt,46.6806,113.2792,18.23,90,0,7.45,MN,1615145551
260,sakakah,29.9697,40.2064,66.2,20,0,5.75,SA,1615145718
261,narsaq,60.9167,-46.05,32.0,80,75,9.22,GL,1615145718
262,jiexiu,37.0244,111.9125,42.51,65,4,1.28,CN,1615145718
263,emerald,-23.5333,148.1667,75.2,83,19,5.75,AU,1615145718
264,mount gambier,-37.8333,140.7667,57.2,100,90,8.05,AU,1615145719
265,sola,-13.8833,167.55,75.2,100,20,6.67,VU,1615145719
266,chara,56.9064,118.2631,3.16,85,96,2.01,RU,1615145719
267,rieti,42.4072,12.8592,48.0,93,95,2.3,IT,1615145719
268,muros,42.7762,-9.0603,48.99,64,1,5.01,ES,1615145719
269,anadyr,64.75,177.4833,-4.0,84,75,8.95,RU,1615145719
270,saiha,22.4833,92.9667,59.59,74,0,3.24,IN,1615145720
271,beira,-19.8436,34.8389,78.8,89,20,6.91,MZ,1615145720
272,san patricio,28.017,-97.5169,71.6,46,1,20.71,US,1615145720
273,iqaluit,63.7506,-68.5145,-2.2,71,90,9.22,CA,1615145720
274,sheopur,25.6667,76.7,74.64,20,0,7.87,IN,1615145720
275,marsh harbour,26.5412,-77.0636,68.77,76,54,28.72,BS,1615145721
276,sorong,-0.8833,131.25,79.57,81,92,7.05,ID,1615145721
277,baykit,61.67,96.37,12.52,92,100,7.02,RU,1615145721
278,catuday,16.2923,119.8062,76.17,74,37,10.27,PH,1615145721
279,cozumel,20.5083,-86.9458,81.0,54,40,14.97,MX,1615145721
280,kroonstad,-27.6504,27.2349,65.07,36,0,1.99,ZA,1615145721
281,shiraz,29.6036,52.5388,57.2,21,0,11.5,IR,1615145722
282,tsumeb,-19.2333,17.7167,64.4,88,0,2.3,NA,1615145722
283,guerrero negro,27.9769,-114.0611,64.89,57,6,15.73,MX,1615145449
284,kupang,-10.1667,123.5833,78.91,81,33,3.0,ID,1615145722
285,phan thiet,10.9333,108.1,71.65,71,24,8.05,VN,1615145722
286,salta,-24.7859,-65.4117,82.4,47,40,5.75,AR,1615145430
287,esperance,-33.8667,121.9,62.6,94,90,4.61,AU,1615145723
288,svobodnyy,51.4,128.1333,-1.14,92,0,6.24,RU,1615145723
289,barra do garcas,-15.89,-52.2567,77.0,94,75,2.3,BR,1615145723
290,pacific grove,36.6177,-121.9166,59.0,33,1,4.61,US,1615145457
291,aykhal,66.0,111.5,3.36,92,100,1.81,RU,1615145723
292,henties bay,-22.116,14.2845,68.05,69,1,10.38,NA,1615145723
293,san jose,37.3394,-121.895,60.01,44,40,13.8,US,1615145724
294,tiznit,29.5833,-9.5,53.98,88,83,10.47,MA,1615145724
295,spearfish,44.4908,-103.8594,55.0,35,1,8.05,US,1615145718
296,verkhoyansk,67.5447,133.385,-22.14,81,100,2.42,RU,1615145640
297,port moresby,-9.4431,147.1797,73.4,100,20,5.75,PG,1615145724
298,kavieng,-2.5744,150.7967,81.93,75,100,6.53,PG,1615145724
299,pisco,-13.7,-76.2167,82.4,57,0,12.66,PE,1615145724
300,maniitsoq,65.4167,-52.9,22.98,95,58,15.7,GL,1615145484
301,charters towers,-20.1,146.2667,70.02,89,41,7.72,AU,1615145725
302,teya,60.3778,92.6267,10.98,92,78,8.59,RU,1615145725
303,pasinler,39.9803,41.6764,32.0,93,75,2.55,TR,1615145464
304,chisinau,47.0056,28.8575,32.0,51,0,3.44,MD,1615145553
305,tonstad,58.6626,6.7169,32.0,72,93,4.25,NO,1615145725
306,nava,28.4167,-100.7667,68.0,49,40,9.22,MX,1615145725
307,yaizu,34.8667,138.3333,46.4,93,90,3.44,JP,1615145725
308,genhe,50.7833,121.5167,-0.51,88,24,2.35,CN,1615145725
309,naze,28.3667,129.4833,62.69,92,72,5.21,JP,1615145725
310,sao filipe,14.8961,-24.4956,71.19,74,2,17.6,CV,1615145440
311,shache,38.4167,77.2406,46.6,49,100,3.0,CN,1615145726
312,asfi,32.2994,-9.2372,59.05,83,41,11.12,MA,1615145726
313,tuy hoa,13.0833,109.3,72.63,90,29,3.8,VN,1615145475
314,pangnirtung,66.1451,-65.7125,-2.2,78,1,6.91,CA,1615145726
315,quang ngai,15.1167,108.8,72.16,87,57,3.27,VN,1615145726
316,bilma,18.6853,12.9164,77.59,15,0,6.4,NE,1615145726
317,chokurdakh,70.6333,147.9167,-13.72,89,100,12.48,RU,1615145726
318,kothapet,19.3333,79.4833,75.83,19,0,1.1,IN,1615145727
319,verkh-suetka,53.3,80.05,22.46,98,100,9.46,RU,1615145727
320,tripoli,32.8752,13.1875,62.49,69,49,21.77,LY,1615145727
321,vanavara,60.34,102.2797,18.27,97,100,9.28,RU,1615145727
322,buala,-8.145,159.5921,80.08,80,100,5.61,SB,1615145727
323,jalu,29.0331,21.5482,68.74,24,0,10.16,LY,1615145727
324,nelson bay,-32.7167,152.15,66.99,94,40,5.75,AU,1615145728
325,isangel,-19.55,169.2667,71.6,94,20,11.25,VU,1615145650
326,deputatskiy,69.3,139.9,-20.33,86,100,6.82,RU,1615145728
327,beruwala,6.4788,79.9828,78.13,77,4,3.31,LK,1615145728
328,ambalema,4.7841,-74.7627,64.4,63,75,3.44,CO,1615145728
329,benjamin constant,-4.3831,-70.0311,78.8,88,75,3.44,BR,1615145728
330,swiecie,53.4095,18.4474,35.01,73,98,4.0,PL,1615145728
331,swinoujscie,53.9105,14.2471,36.0,96,80,11.81,PL,1615145729
332,pathein,16.7833,94.7333,70.83,85,0,8.03,MM,1615145729
333,peace river,56.2501,-117.286,30.2,64,20,11.5,CA,1615145729
334,floro,61.5996,5.0328,33.8,75,82,6.91,NO,1615145729
335,sieradz,51.5958,18.7302,35.01,75,82,3.0,PL,1615145729
336,berlevag,70.8578,29.0864,21.2,79,75,8.05,NO,1615145729
337,sidi ali,36.0998,0.4206,53.08,90,95,5.32,DZ,1615145729
338,shemysheyka,52.892,45.3928,28.0,88,100,23.35,RU,1615145730
339,sioux lookout,50.1001,-91.917,42.8,42,90,16.11,CA,1615145548
340,cacu,-18.5567,-51.1308,77.61,81,100,5.84,BR,1615145730
341,bodden town,19.2833,-81.25,84.0,65,75,8.05,KY,1615145730
342,merauke,-8.4667,140.3333,77.27,87,28,6.71,ID,1615145730
343,margate,51.3813,1.3862,39.0,72,0,1.52,GB,1615145730
344,ladario,-19.0047,-57.6017,91.4,52,40,4.61,BR,1615145730
345,mwinilunga,-11.7358,24.4293,64.83,91,98,0.98,ZM,1615145730
346,nsanje,-16.92,35.262,71.62,92,0,2.86,MW,1615145730
347,gorontalo,0.5412,123.0595,72.91,88,55,3.44,ID,1615145730
348,roma,43.2128,-75.4557,28.99,46,1,13.8,US,1615145731
349,okha,53.5739,142.9478,-6.39,90,31,11.61,RU,1615145731
350,saryg-sep,51.5,95.6,10.09,92,55,1.61,RU,1615145731
351,hailar,49.2,119.7,7.54,93,0,7.36,CN,1615145584
352,westport,41.1415,-73.3579,39.2,33,1,9.22,US,1615145731
353,airai,-8.9266,125.4092,58.78,100,15,0.51,TL,1615145731
354,korla,41.7597,86.1469,45.27,54,100,8.59,CN,1615145732
355,talnakh,69.4865,88.3972,-10.12,89,100,5.75,RU,1615145732
356,qarqin,37.4185,66.0436,52.56,56,0,10.33,AF,1615145732
357,mglin,53.0591,32.8475,26.22,96,100,11.56,RU,1615145732
358,christchurch,-43.5333,172.6333,53.01,87,75,5.75,NZ,1615145604
359,camacha,33.0833,-16.3333,59.0,94,75,3.44,PT,1615145732
360,manokwari,-0.8667,134.0833,76.48,76,100,3.27,ID,1615145462
361,tautira,-17.7333,-149.15,84.2,74,75,16.11,PF,1615145732
362,yakima,46.4665,-120.6678,50.0,43,1,23.02,US,1615145732
363,pafos,34.7667,32.4167,62.6,72,40,8.05,CY,1615145733
364,beihai,21.4833,109.1,68.81,88,89,14.38,CN,1615145733
365,kodinsk,58.6881,99.1844,16.18,94,100,12.73,RU,1615145733
366,kalmar,56.6616,16.3616,33.01,51,90,10.36,SE,1615145733
367,mehamn,71.0357,27.8492,26.6,79,75,8.05,NO,1615145734
368,san cristobal,7.7669,-72.225,86.0,62,40,9.22,VE,1615145734
369,lasa,46.6166,10.7002,48.2,75,0,4.61,IT,1615145734
